"","locations.lon","locations.lat"
"1",-81.5157535,27.6648274
"2",-77.1945247,41.2033216
"3",-99.1495107,19.4356338
"4",-99.1495107,19.4356338
"5",-82.4427769,8.4007278
"6",-99.1495107,19.4356338
"7",-71.542969,-35.675147
"8",-99.1495107,19.4356338
"9",NA,NA
"10",-99.133208,19.4326077
"11",-106.346771,56.130366
"12",-115.1398296,36.1699412
"13",-78.8732202,34.150434
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",-95.712891,37.09024
"18",-112.0740373,33.4483771
"19",-78.6381787,35.7795897
"20",NA,NA
"21",-119.4179324,36.778261
"22",-71.0588801,42.3600825
"23",-71.542969,-35.675147
"24",-95.712891,37.09024
"25",-97.4974838,25.9017472
"26",-95.712891,37.09024
"27",-115.1398296,36.1699412
"28",NA,NA
"29",NA,NA
"30",-122.4194155,37.7749295
"31",NA,NA
"32",-82.9376804,39.9689532
"33",-84.3424447,33.7711524
"34",-97.856109,27.5158689
"35",NA,NA
"36",-71.0588801,42.3600825
"37",-81.5157535,27.6648274
"38",-117.8311428,33.7174708
"39",12.453389,41.902916
"40",-90.0489801,35.1495343
"41",NA,NA
"42",NA,NA
"43",-116.419389,34.9592083
"44",140.1210169,37.0197314
"45",-81.1637245,33.836081
"46",-88.9936873,40.4842027
"47",-99.9018131,31.9685988
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",-71.252345,42.427103
"52",-83.2732627,42.3369816
"53",-84.3278899,33.8167203
"54",NA,NA
"55",-71.0588801,42.3600825
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",-83.0457538,42.331427
"60",-111.9260519,33.4941704
"61",-78.6381787,35.7795897
"62",NA,NA
"63",NA,NA
"64",-90.230759,15.783471
"65",-79.3831843,43.653226
"66",-80.2561981,39.2864787
"67",NA,NA
"68",-74.0059413,40.7127837
"69",NA,NA
"70",NA,NA
"71",-79.532157,43.8169837
"72",NA,NA
"73",-123.9695657,45.4605229
"74",-121.4943996,38.5815719
"75",-74.0059413,40.7127837
"76",-87.6297982,41.8781136
"77",-80.4549026,38.5976262
"78",NA,NA
"79",-96.8236116,33.1506744
"80",-77.9155395,35.7212689
"81",-85.5800022,42.2011538
"82",-84.3879824,33.7489954
"83",-84.3879824,33.7489954
"84",-102.4107493,34.2331373
"85",-74.0059413,40.7127837
"86",-95.712891,37.09024
"87",NA,NA
"88",-83.9811014,34.1140497
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",2.3522219,48.856614
"94",NA,NA
"95",-81.6528219,41.4924631
"96",-119.4179324,36.778261
"97",NA,NA
"98",-73.087749,41.6032207
"99",114.939821,4.9030522
"100",NA,NA
"101",NA,NA
"102",-157.8583333,21.3069444
"103",-82.7495829,27.7386769
"104",NA,NA
"105",NA,NA
"106",-77.0947092,38.984652
"107",-87.6297982,41.8781136
"108",-78.3534145,37.8431142
"109",72.8776559,19.0759837
"110",88.6241351,24.3635886
"111",-122.2928974,47.1853785
"112",-81.9320482,34.9495672
"113",-77.2190849,38.9322456
"114",-149.5680499,61.3293186
"115",-80.003098,40.448
"116",77.6073462,12.9724816
"117",-70.162651,18.735693
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",-84.3879824,33.7489954
"122",-71.1550451,41.7014912
"123",-77.2190849,38.9322456
"124",-72.6655757,41.6572525
"125",-115.1398296,36.1699412
"126",NA,NA
"127",-74.0059413,40.7127837
"128",-81.8603778,30.0688512
"129",-90.0489801,35.1495343
"130",-111.0937311,34.0489281
"131",-78.6568942,37.4315734
"132",-94.7151865,39.0228485
"133",-75.5397878,39.7390721
"134",NA,NA
"135",NA,NA
"136",-102.552784,23.634501
"137",NA,NA
"138",-70.6692655,-33.4488897
"139",-79.7919754,36.0726354
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",-71.8022955,42.5834228
"144",-86.902298,32.3182314
"145",NA,NA
"146",-80.1917902,25.7616798
"147",-96.6397822,33.1972465
"148",NA,NA
"149",-84.2700179,37.8393332
"150",NA,NA
"151",-47.3798391,-22.3604911
"152",NA,NA
"153",-98.4936282,29.4241219
"154",-99.9018131,31.9685988
"155",-74.0716106,4.6019897
"156",NA,NA
"157",NA,NA
"158",-66.1057355,18.4655394
"159",NA,NA
"160",NA,NA
"161",-97.0035982,28.8052674
"162",-85.5872286,42.2917069
"163",NA,NA
"164",-84.2963123,33.7748275
"165",NA,NA
"166",-115.2784799,36.1104452
"167",-98.4936282,29.4241219
"168",-99.9018131,31.9685988
"169",-71.0588801,42.3600825
"170",-0.130225,51.4650933
"171",21.2570307,45.7659345
"172",NA,NA
"173",NA,NA
"174",-75.1652215,39.9525839
"175",NA,NA
"176",-77.0368707,38.9071923
"177",-79.0192997,35.7595731
"178",-75.0026972,40.068629
"179",-118.2436849,34.0522342
"180",NA,NA
"181",-77.6109219,43.16103
"182",-73.7948516,40.7282239
"183",NA,NA
"184",-2.632596,53.653511
"185",-71.0588801,42.3600825
"186",-87.771964,41.909611
"187",25.3696831,45.5191918
"188",NA,NA
"189",-71.0602131,42.3782065
"190",-74.0059413,40.7127837
"191",NA,NA
"192",-83.400211,42.324204
"193",NA,NA
"194",-122.479326,47.202997
"195",NA,NA
"196",-96.7969879,32.7766642
"197",-95.712891,37.09024
"198",-95.3698028,29.7604267
"199",-118.2436849,34.0522342
"200",-80.782127,8.537981
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
"205",-71.0588801,42.3600825
"206",-80.6692352,35.0768141
"207",NA,NA
"208",NA,NA
"209",-79.3831843,43.653226
"210",-119.4179324,36.778261
"211",-74.0059413,40.7127837
"212",-115.1398296,36.1699412
"213",-87.1622344,13.3198572
"214",-90.0715323,29.9510658
"215",-95.712891,37.09024
"216",NA,NA
"217",NA,NA
"218",-106.346771,56.130366
"219",NA,NA
"220",-79.3831843,43.653226
"221",-9.5143467,53.8021307
"222",NA,NA
"223",-119.7725868,36.7468422
"224",-101.6859605,21.1250077
"225",-71.4774291,41.5800945
"226",NA,NA
"227",-79.0192997,35.7595731
"228",-95.712891,37.09024
"229",-85.6023643,44.3148443
"230",NA,NA
"231",-118.2436849,34.0522342
"232",NA,NA
"233",-71.3824374,42.4072107
"234",NA,NA
"235",-87.2169149,30.421309
"236",-0.1277583,51.5073509
"237",-95.4171601,30.0799405
"238",NA,NA
"239",-97.5164276,35.4675602
"240",-71.0588801,42.3600825
"241",NA,NA
"242",NA,NA
"243",NA,NA
"244",NA,NA
"245",-71.1270268,42.2832142
"246",-97.7430608,30.267153
"247",NA,NA
"248",-70.8823264,43.1979166
"249",NA,NA
"250",-74.0059413,40.7127837
"251",NA,NA
"252",NA,NA
"253",NA,NA
"254",-74.0059413,40.7127837
"255",NA,NA
"256",NA,NA
"257",-83.7524298,40.1083912
"258",-118.2436849,34.0522342
"259",-70.6692655,-33.4488897
"260",-77.4105409,39.4142688
"261",NA,NA
"262",-89.4012302,43.0730517
"263",NA,NA
"264",NA,NA
"265",-81.1637245,33.836081
"266",-67.9972104,10.1579312
"267",-106.346771,56.130366
"268",-82.907123,40.4172871
"269",-122.6764816,45.5230622
"270",NA,NA
"271",-99.1181908,19.4023953
"272",-95.3698028,29.7604267
"273",-121.4943996,38.5815719
"274",-102.552784,23.634501
"275",NA,NA
"276",-118.2436849,34.0522342
"277",-118.2436849,34.0522342
"278",-118.2436849,34.0522342
"279",NA,NA
"280",NA,NA
"281",-118.2436849,34.0522342
"282",NA,NA
"283",NA,NA
"284",NA,NA
"285",-102.552784,23.634501
"286",-104.9739333,39.5480789
"287",-84.3879824,33.7489954
"288",NA,NA
"289",-95.712891,37.09024
"290",-79.5258035,8.9888355
"291",NA,NA
"292",-72.6850932,41.7637111
"293",-83.8088171,39.9242266
"294",-102.552784,23.634501
"295",-81.7075787,12.5450153
"296",-1.1743197,52.3555177
"297",-71.2760089,42.4906231
"298",NA,NA
"299",-73.567256,45.5016889
"300",-95.712891,37.09024
"301",-105.7820674,39.5500507
"302",-159.5891667,21.9061111
"303",NA,NA
"304",-95.712891,37.09024
"305",-82.9987942,39.9611755
"306",-83.0007774,43.8019592
